3,54 2 617 54 1840 2 228 188 137 51 1198 279 3034 4 2143 43 10 1272 770 64 1198 279 52 688 1,0
3,605 3569 2014 42 0 25 605 23 57 375 2550 587 900 905 265 4 379 16 473 2805 605 389 131 488 1655 3415 77 3155 2193 1591 23 25 26 5 1925 605 57 1803 25 1464 4488 766 323 1 125 2629 1167 236 301 77 364,1
4,841 6 4489 1371 6 967 1125 175 21 96 420 790 2336 790 2336 15 225 841 1557 23 978 29 98 1558 4489 1078 3570 190 266 168 82 2336 790 488 1889 150 314 3035 133 1489 316 967 21 96 756 433 654 1536 44 2904 18 387 790 2336 841 1557 82 2336 967 796 2336 1757 1211 967 4490 3036 161 4489 18 15 225,2
0,314 54 23 59 9 0 11 36 37 0 11 36 37 22 62 241 316 365 27 62 42 162 431 172 997,3
0,3156 2269 1559 10 3156 4 175 393 1841 1560 829 775 23 4232 359 45 2630 1 658 12 190 1841 66 1397 359 45 2630 998 185 116 316 1352 829 775 333 1975 3416 2015 1559 280 1054 276 1687 12 1240 269 1758 61 66 3416 2631 1257 3156 2016 12 2016 3156 12 2904 376 266 808 160 44 948 1240 808 588 3156 790 153 2551 668 29 27 45 3416 45 5 29 27 222 5 599 105 145 1 1759 95 5 222 5 21,4
3,605 3569 2194 8 100 1019 58 198 543 605 1140 23 2805 605 343 62 154 100 1 1019 16 474 15 343 4233 1623 621 3281 113 4 3037 543 154 351 344 1168 310 1019 16 797 534 16 4233 791 730 101 2551 339 872 605 1140 23 311 42 26 5 25 605 10 119 149 605 2805 605 102 362 1199 624 127 1 605 3281 551 265 31 154 1258 605 8 421 1 3282 268 1020 1021 13 126 4233 3281 68 125 1 1308 543 886 605 10 2719 4491 344 343 776 2194 33 409 61 949 1152 850 12 74 77 4 1842 564 873 477 311 4234 333 2337 23 495 451 455 605 647 90 100 16 932 696 2017 1019 16 62 4492 402 600 605 1140 1926 2905 771 138 887 968 647 888 1727 1 675 1 416 1114 138 64 488 3777 333 2720 196 380 3571 2 1152 16 798 55 3572 1 8 451 324 1079 1152 2552 49 932 696 2017 1 357 352,5
4,1592 14 147 366 589 371 216 14 1 1592 3417 42 132 14 147 366 589 1465 1561 900 162 3283 13 371 1372 2270 1592 136 436 621 4493 60 528 1465 29 2271 14 1373 444 371 389 2018 52 452 428 2075 21 139 2806 320 1656 18 217 1657 1465 133 8 922 900 162 13 371 639 366 93 371 8 1760 162 3283 736 54 93 124 371 81 183 1465 174 366 589 371 231 1489 14 2632 350 183 985 715 2632 183 383 2195 261 183 1465 3157 1008 17 2906 1688 2338 772 3284 4493 111 4493 1465 324 1490 1890 143 705 1592 1728 529 4494 2806 1465 613 911 444 431 2806 111 522 8 1045 4494 705 81 600 3284 4493 1592 1927 4494 705 1465 851 587 900 13 371 162 3283,6
0,1840 173 41 10 1840 4 57 438 41 227 708 1928 10 12 4 223 2144 77 234 142 4495 507 2196 421 89 1804 716 479 141 421 1 69 203 43 10 421 379 16 250 601 2907 10 357 887 41 111,7
0,2019 1466 23 161 35 453 204 79 204 79 53 70 63 31 39 31 22 296 62 18 5 3418 41 296 62 95 5 3418 41,8
0,3573 321 2 304 9 478 0 7 44 7 11 53 48 0 7 44 7 11 22 3573 2721 1095 94 478 174,9
